idx_run,connect_to_0,connect_to_1,connect_to_2,connect_to_3,connect_to_4,connect_to_5,connect_to_6,connect_to_7,connect_to_8,connect_to_9,connect_to_10,connect_to_11,connect_to_12,connect_to_13,connect_to_14,connect_to_15,connect_to_16,connect_to_17,connect_to_18,connect_to_19,connect_to_20,connect_to_21,connect_to_22,connect_to_23,connect_to_24,connect_to_25,connect_to_26,connect_to_27,connect_to_28,connect_to_29,connect_to_30,connect_to_31,connect_to_32
0,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING
1,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING
2,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP
3,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING
4,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP
5,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING
6,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING
7,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING
8,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP
9,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP
