idx_run,connect_to_0,connect_to_1,connect_to_2,connect_to_3,connect_to_4,connect_to_5,connect_to_6,connect_to_7,connect_to_8,connect_to_9,connect_to_10,connect_to_11,connect_to_12,connect_to_13,connect_to_14,connect_to_15,connect_to_16,connect_to_17,connect_to_18,connect_to_19,connect_to_20,connect_to_21,connect_to_22,connect_to_23,connect_to_24,connect_to_25,connect_to_26,connect_to_27,connect_to_28,connect_to_29,connect_to_30,connect_to_31,connect_to_32
48,8,-1,-1,-2,6,-2,8,-2,-1,-2,-2,-1,-1,-2,-2,-1,-1,22,-1,18,17,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1
49,-2,-2,-1,-1,3,-1,4,-2,-2,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2,21,-2,-1,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2,-2
50,6,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-1,-2,-1,-2,22,11,-2,-1,18,-1,-1,-1,-2,-1,-1,-2,-1,-2,-2,-2,-2,-1
51,-1,5,-1,-2,-1,-1,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,11,-2,-1,18,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-2
52,-1,0,-2,-2,-2,0,-1,-1,-2,-2,-2,-1,-2,-2,-1,19,11,14,-1,-1,17,-2,-2,-1,-1,-1,24,-2,-2,-2,-2,-2,-1
53,-1,-2,-1,-2,-2,-1,-1,-2,-2,-2,-1,-2,-1,-2,-2,-1,-2,-1,-1,-1,17,19,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1
54,-1,0,-1,-2,-1,-1,-1,-2,6,-2,-1,-2,-2,-2,-1,22,-1,22,-2,-2,-2,-2,-1,-2,-2,27,-1,-1,-1,28,-2,-2,-2
55,6,-1,-2,-2,6,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,19,-2,-1,-2,21,17,-1,-2,-2,-1,-2,24,-2,-2,-2,-1,-1,-2
56,-1,-1,-2,-2,-2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,15,-2,21,-1,-1,-2,-1,-2,-1,-2,-2,29,-1,-2,-2,-2
57,-1,0,-2,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,22,-2,-2,-2,-1,-2,-2,-1,28,-1,-1,-2,-2,-2,-2
