idx_run,connect_to_0,connect_to_1,connect_to_2,connect_to_3,connect_to_4,connect_to_5,connect_to_6,connect_to_7,connect_to_8,connect_to_9,connect_to_10,connect_to_11,connect_to_12,connect_to_13,connect_to_14,connect_to_15,connect_to_16,connect_to_17,connect_to_18,connect_to_19,connect_to_20,connect_to_21,connect_to_22,connect_to_23,connect_to_24,connect_to_25,connect_to_26,connect_to_27,connect_to_28,connect_to_29,connect_to_30,connect_to_31,connect_to_32
0,-2,-2,-2,-1,3,-2,4,-2,-2,-1,-2,-2,-1,-1,-2,12,-2,-2,13,-2,-2,-1,-2,-2,-2,-2,-2,-2,29,-1,-1,-2,-2
1,-2,-1,-2,-2,-2,-1,8,-2,-1,-2,-1,-2,-1,-2,-2,19,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-1,28,-1,-2,-2
2,-2,-1,-2,-1,3,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,16,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
3,-2,-2,-2,-1,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2,-2,19,11,-1,-2,-1,-1,19,-2,-2,-1,-1,-2,-2,-1,-2,-1,-2,-2
4,-2,5,3,-1,-2,-1,8,-2,-1,-2,-2,-2,-1,-1,-2,12,-2,-2,13,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-1,-1,-2
5,-2,-1,3,-1,3,-2,-1,-2,6,-2,-2,-1,-1,-2,-2,19,11,-2,-2,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2
6,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,13,-2,-1,-2,-2,-1,-1,-2,24,-1,-2,-2,-2,-2,-1
7,-1,0,-1,6,7,-2,4,-1,-2,-2,-2,-1,-1,-2,-1,12,11,14,21,-2,-1,-1,-2,-2,-1,-1,24,-2,-2,-2,-1,-2,-2
8,-1,-1,-2,-2,-1,0,-1,-1,-2,-2,-1,-2,-2,-1,-1,-2,-1,-2,-1,18,-2,-1,-2,-1,-2,-1,-1,-2,-1,-1,-1,-2,-2
9,-1,-1,-2,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,21,21,-1,-1,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2
10,5,-1,-2,-1,-2,-1,8,-2,10,-2,-1,-1,-1,-2,-2,-1,11,15,-1,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-1
11,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-1,-2,-2,12,11,-2,-1,-1,-2,19,-1,-1,-1,-1,-1,-2,29,-1,-2,-1,-2
12,-2,-1,-2,-2,-1,-1,4,-1,7,-1,-2,-2,-1,-2,-2,-2,-1,-1,21,-1,17,-1,-2,-2,-2,27,-2,-1,-2,-2,-2,-2,-2
13,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,15,-2,-2,-1,-2,-2,21,-1,-1,-1,-2,-1,-2,-1,-2,-2,29,-1,-2,-2,-2
14,-1,-2,-1,-2,-1,-2,4,-1,-1,-2,-2,-2,-1,-2,-2,12,-2,-1,-1,-2,-1,-2,-2,-1,-2,-1,-2,-2,-1,28,-2,-2,-1
15,-2,-2,-2,-2,8,-2,-2,-2,-1,-1,-1,-2,15,-1,-2,19,-2,20,13,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1
16,-1,-2,-2,-1,-2,-2,-1,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,13,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2
17,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,12,-2,20,-2,22,-1,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2
18,-2,-2,-2,-2,-1,-2,-1,-2,4,-2,-2,-1,-1,-1,-2,-2,-1,-2,-1,18,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2
19,-2,5,-2,-2,6,-1,8,-2,-1,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-1,-1
20,-1,0,-2,-1,-2,-1,8,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,19,21,-1,-1,-2,-2,-1,27,-2,-1,29,-1,-1,-1,-1
21,-1,0,-1,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,22,-2,20,19,22,-1,-1,-1,-2,-1,-1,24,-2,-2,-1,-1,-2,-2
22,-2,-2,3,-1,-1,-1,-1,-1,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,15,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1
23,6,-2,-1,-1,3,-2,-1,-2,-2,-2,-1,-2,-1,-2,-1,-1,-2,-2,19,-1,-2,19,-2,-2,-2,-1,-2,-2,-1,28,-2,-2,-2
