idx_run,connect_to_0,connect_to_1,connect_to_2,connect_to_3,connect_to_4,connect_to_5,connect_to_6,connect_to_7,connect_to_8,connect_to_9,connect_to_10,connect_to_11,connect_to_12,connect_to_13,connect_to_14,connect_to_15,connect_to_16,connect_to_17,connect_to_18,connect_to_19,connect_to_20,connect_to_21,connect_to_22,connect_to_23,connect_to_24,connect_to_25,connect_to_26,connect_to_27,connect_to_28,connect_to_29,connect_to_30,connect_to_31,connect_to_32
0,-1,5,3,-1,7,-1,4,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,21,-1,-2,-1,-2,-1,-1,27,-1,-1,-2,-1,-2,-2,-2
1,-2,-2,-2,-2,-1,-1,-1,-1,10,-1,-1,-2,-2,-1,-2,-1,-2,-1,-1,21,17,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2
2,-2,-2,-2,-1,-1,-2,4,-2,-2,-1,-2,-2,15,-1,-2,22,-2,-1,13,22,-2,-1,-1,-2,-2,-2,-1,-2,-1,-1,-1,-1,-1
3,-1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,11,14,16,-2,-1,-2,-2,-2,-2,-1,29,-1,-1,28,-2,-2,-2
4,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1,-2,-1,22,11,-2,-1,22,-2,19,-1,-1,22,-1,-2,-1,-1,-1,-2,-2,-1
5,-2,-1,-1,-2,8,-2,-1,-1,7,-2,-2,-2,-2,-1,-2,-2,-2,-2,13,-2,-2,-2,-2,-1,-2,-1,-2,-1,-2,-2,-2,-2,-1
6,-2,-2,-2,6,-1,-2,4,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-1,-1,-2,-1,28,-2,-2,-2
7,6,0,-1,-2,8,-2,8,-1,7,-2,-2,-1,15,-2,-1,-1,-2,-1,-1,-1,-1,19,-2,-2,-1,-2,-1,-2,-1,-2,-1,-2,-2
8,6,0,-2,-2,6,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-1,-2,-2,-1,18,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2
9,8,0,3,-1,8,0,-2,-1,-1,-2,-1,-2,-2,-1,-2,-2,-2,20,21,-2,-1,-1,-2,-2,-1,-1,29,-1,29,-1,-2,-2,-2
10,-2,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-1,-2,-1,-2,19,-1,-1,22,27,-1,-1,-1,-1,-1,-2,-2
11,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-1,-1,-1,-1,16,15,-1,-2,-2,-2,-2,-2,29,-2,29,-1,-2,-2,-2
12,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,22,-2,22,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-2,-1,-2
13,-2,-2,-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,28,-2,-2,-1
14,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2
15,-2,5,-1,-2,-2,-1,-1,-1,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,19,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2
16,8,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-1,-1,29,-1,-2,-1,-1,-2,-2
17,-2,-1,-1,-2,-1,-2,-2,-2,4,-1,-2,-2,-2,-2,-1,19,-2,14,-1,-1,-2,19,-2,-2,-2,-1,-1,-1,-1,-1,-2,-1,-2
18,-1,-2,-2,-2,-1,0,-1,-2,-1,-1,-2,-2,15,-2,-2,22,-2,-1,-1,18,-2,-1,-1,-2,22,-2,-2,-1,-1,28,-2,-2,-2
19,-2,-2,-1,-1,-2,-2,-1,-2,6,-1,-2,-1,-1,-1,-1,12,-1,-2,-2,15,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-1
20,-1,0,-2,-2,8,0,4,-2,-1,-2,-1,-2,-2,-2,-1,-2,-2,14,-2,-2,-1,-2,-2,-1,-2,27,29,-1,-1,-1,-2,-2,-1
21,-1,0,-1,-2,6,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-1,18,-1,-1,-2,-2,-1,-2,-2,-2,29,-1,-2,-2,-1
22,-2,5,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,19,-2,-2,15,-1,-1,-2,-1,-2,22,-2,-1,-1,-2,-2,-2,-2,-2
23,6,-2,-2,-2,-1,0,-1,-2,6,-1,-2,-2,-1,-1,-2,-1,-2,15,13,-2,17,-1,-2,-2,-1,-1,24,-2,-2,-2,-1,-1,-2
24,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-1,-1,-1,-1,-2,-1,-2,-1,28,-2,-2,-1
25,-1,-1,-2,-2,7,0,-2,-1,4,-2,-2,-2,-1,-2,-2,12,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,28,-1,-1,-1,-2,-2,-1
26,-1,0,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2
27,-1,-2,-1,-1,-1,0,8,-2,-1,-2,-2,-2,-2,-1,-2,19,-1,20,16,-1,-1,-1,-2,-2,-1,27,28,-1,-1,28,-1,-2,-2
28,6,0,-1,-2,-1,-1,-1,-1,10,-1,-1,-2,-1,-1,-1,-2,-2,-1,21,-2,-2,-1,-2,-2,-2,-2,29,-1,-2,-1,-2,-2,-2
29,-2,-1,-1,-2,7,-2,-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2
30,-2,-2,-2,-2,8,-2,-1,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-1,-1,-1,17,-1,-1,-2,-1,-2,-2,-2,-2,-1,-1,-1,-2
31,-2,5,-1,-1,-2,-1,-2,-2,-2,-1,-1,-1,15,-2,-2,-1,-2,-1,21,15,17,19,-1,-2,-1,-2,24,-2,-2,-2,-2,-2,-2
